계약관서,계약명,계약방법,계약일자,계약금액,계약상대자
본청,군청사 사무실 등 사무집기 구매(회계과),수의1인견적,2023-01-06,16606000,중부사무용가구
본청,드림스타트 가족미션 챌린지 프로그램 진행에 따른 설명절 꾸러미(떡국) 구입(가족친화과),수의1인견적,2023-01-10,3933000,진천농협하나로마트
본청,군정홍보용 촬영 카메라 세트 구입(홍보미디어실),수의1인견적,2023-01-11,13750000,브로드코어
본청,2023년 설맞이 사회복지시설 위문 물품 구입 집행(주민복지과),수의1인견적,2023-01-11,8456500,진천축산업협동조합 벽암지점
본청,GPS 측량장비 구입(민원토지과),수의1인견적,2023-01-11,20000000,한양측량시스템
본청,진천·음성 광역폐기물 재활용선별시설 증설사업 물품(간판 등) 구입(식산업자원과),수의1인견적,2023-01-16,18372000,싸인아트
본청,「양화 풍수해생활권 종합정비사업」관급자재(혼합쇄석 및 잡석) 구입(이월확정),제한경쟁,2023-01-16,155008040,주식회사 보정골재
본청,2023년 주요업무계획 책자 제작(기획감사실),수의1인견적,2023-01-17,6370000,오투기획
본청,2023년 주요 진천군정 소책자 제작(기획감사실),수의1인견적,2023-01-17,5600000,오투기획
본청,진천·음성 광역폐기물 재활용선별시설 증설 장비(지게차) 구입(식산업자원과),수의1인견적,2023-01-19,49200000,삼성클라크지게차
본청,공통기반 재해복구 스토리지 디스크 구입(홍보미디어실),수의1인견적,2023-01-20,12640000,주식회사 에즈웰
본청,"스마트 그린도시, 포토존 LED조형물 제작 및 설치(환경에너지과)",수의1인견적,2023-01-25,7300000,주식회사 에스씨티엔에스
본청, 제설제(염화칼슘) 구입(건설교통과),수의1인견적,2023-01-25,33253000,알파환경식품
본청, 제설제(염화칼슘 및 소금) 구입(건설교통과),수의1인견적,2023-01-25,31660200,(주)지엔씨
본청,2023년 유해야생동물 피해방지단 운영에 따른 실탄 구입(환경에너지과),수의1인견적,2023-01-30,13805000,성동총포사
본청,제설제(친환경제설제) 구입(건설교통과),수의1인견적,2023-01-30,9360000,알에스(RS)유통
본청, 2023년 봄철 산불조심기간에 따른 산불조심 홍보물 구입(산림녹지과),수의1인견적,2023-01-30,4128000,우리에이엔씨
본청,행정전산실 무정전전원장치(UPS) 배터리 구입(홍보미디어실),수의1인견적,2023-01-31,9720000,영신엔지니어링
본청,통신실(6개소) 무정전전원공급장치(UPS) 배터리 교체(홍보미디어실),수의1인견적,2023-02-01,7040000,세방전기
본청,2023년 진천군 봄철산불조심기간 진화복 구입(산림녹지과),수의1인견적,2023-02-02,15200000,블루컴퍼니
본청,"제설제(소금,염화칼슘) 구입",수의2인이상견적,2023-02-03,45514950,(주)임팩트블랙홀
본청,전자 복사기 구입(지역개발과),수의1인견적,2023-02-07,2770000,희성정보통신
본청,2023년도 밤나무단지 수종갱신을 위한 묘목 구입(산림녹지과),수의1인견적,2023-02-09,11680000,진천군산림조합
본청,설계적산 프로그램(EST 최신판) 라이선스 키(KEY) 갱신 및 신규 추가 구입(홍보미디어실),수의1인견적,2023-02-14,13680000,(주)다산소프트
본청,2023년 유해야생동물 기피제 구입(환경에너지과),수의1인견적,2023-02-16,18476000,성해종합상사
본청,광혜원산업단지 외 2개소 수질TMS 시약 및 소모품 구입 집행,수의2인이상견적,2023-02-16,69828000,(주)네오이엔지
본청,2023년 산불무전 난청지역 해소를 위한 중계기지국(무선통신장비) 구입(산림녹지과),수의1인견적,2023-02-20,9204000,해성통신
본청,2023년 대형폐기물 신고필증 스티커 제작(식산업자원과),수의1인견적,2023-02-20,14155000,싸인아트
본청,VMS 교통정보제공시스템 제어기 교체,수의1인견적,2023-02-21,4800000,(주)동감
본청,2023년 가로수 관리를 위한 예초기 구입(산림녹지과),수의1인견적,2023-02-24,2640000,대명통상
본청,진천·음성 광역폐기물 침출수처리시설 지게차 구조변경 물품(로테이팅포크) 구입(식산업자원과),수의1인견적,2023-03-02,6200000,현대중공업 지게차 충북지점
본청,전자물품관리시스템 관리를 위한 장비 구입(리더기)(회계과),수의1인견적,2023-03-06,5140000,주식회사 케이아이티씨엔씨
본청,케이푸드밸리산업단지 공공폐수처리시설 증설공사 관급자재 구입(송풍기)(환경에너지과),수의1인견적,2023-03-07,34000000,(주)터보맥스
본청,전자적 십지지문 등록스캐너(민원토지과),수의1인견적,2023-03-07,3400000,희성정보통신
본청,구대장 한글전산화 프로그램 구입(민원토지과),수의1인견적,2023-03-07,10000000,(주)알찬정보시스템
본청,2023년 산불진화용 개인장비 구입(산림녹지과),수의1인견적,2023-03-08,14332000,산하그린
본청,2023년 산림병해충 방제를 위한 약제 구입(산림녹지과),수의1인견적,2023-03-08,17430000,우리농약사
본청,2023년 야생조류 기피제 구입(환경에너지과),수의1인견적,2023-03-09,3100000,성해종합상사
본청,"새올행정 틈새업무시스템 추가 개발(안전보건관리, 복지관회의실예약)(홍보미디어실)",수의1인견적,2023-03-09,14700000,주식회사 에즈웰
본청, 드림스타트 가족미션 챌린지 프로그램 진행에 따른 도서,수의1인견적,2023-03-09,3510000,진천서점
본청,2023년 이월 송림근린공원 콘테이너 구입(산림녹지과),수의1인견적,2023-03-10,3000000,진천스틸하우스
본청,케이푸드밸리산단 공공폐수처리시설 증설공사 관급자재 구입(유량조정조 펌프)(환경에너지과),수의1인견적,2023-03-10,12000000,(주)오비스
본청,케이푸드밸리산업단지 공공폐수처리시설 2단계 증설사업 관급자재(공법사기자재)(환경에너지과),수의1인견적,2023-03-10,462732090,환경시설관리주식회사
본청,가족친화과(여성회관) 전자복사기(가족친화과),수의1인견적,2023-03-10,2850000,희성정보통신
본청,"케이푸드밸리산단 공공폐수처리시설 관급자재 구입(반송슬러지, 처리수 펌프)(환경에너지과)",수의1인견적,2023-03-13,22300000,한국펌프공업협동조합
본청,모바일 신분증 진위확인 단말기 구입(민원토지과),수의1인견적,2023-03-13,7600000,희성정보통신
본청,2023년 시내버스 승강장 안전패널 설치 (대중교통활용 안전문화 홍보 사업)(안전총괄과),수의1인견적,2023-03-14,11600000,아주C&D
본청,팩스용 암호장비(홍보미디어실),수의1인견적,2023-03-14,5200000,주식회사 대영에스텍
본청,[충북혁신도시 복합혁신센터 건립사업(전기공사)]관급자재(무대장치) 구입,제한경쟁,2023-03-14,89760780,메가이엔씨
본청,2023년 진천군 기업체 안내책자 제작(경제과),수의1인견적,2023-03-15,5000000,미도인쇄사
본청,「진천·음성 광역폐기물 매립시설 7단 제방설치공사」관급자재(벤토파우더)(식산업자원과),수의1인견적,2023-03-15,18480000,주식회사 골든포우
본청,음식문화 수준향상을 위한 남은 음식 포장용 종이가방 제작(식산업자원과),수의1인견적,2023-03-16,5075000,(주)진천가이드
본청,2023년 제78회 식목일 내나무갖기 캠페인 나무 구입,수의1인견적,2023-03-16,5520000,좋은날 농원
본청,「진천·음성 광역폐기물 매립시설 7단 제방설치공사」 관급자재(벤토나이트매트)(식산업자원과),수의1인견적,2023-03-16,36732000,주식회사 골든포우
본청, 노후 구내정보통신(LAN) 장비 교체에 따른 부가 자재(홍보미디어실),수의1인견적,2023-03-21,39664000,주식회사 와이에스기업
본청,2023년 상반기 기업체안내판 정비사업(경제과),수의1인견적,2023-03-21,9222000,아주C&D
본청,"2023년도 꽃길 조성을 위한 봄 꽃묘(가우라,팬지)(산림녹지과)",수의1인견적,2023-03-21,6240000,좋은날농원
본청,케이푸드밸리 공공폐수처리시설 증설공사 관급자재 구입(탈수기)(환경에너지과),수의1인견적,2023-03-22,29700000,(주)에이알케이
본청,"2023년도 꽃길 조성을 위한 봄 꽃묘(비올라,팬지)(산림녹지과)",수의1인견적,2023-03-22,5760000,하나로화원
본청,『초평호 제2하늘다리 건설사업』 관급자재(데크시스템) 조달 구입(문화관광과),수의1인견적,2023-03-22,1503228800,수풍산업 주식회사
본청,CCTV 통합관제센터 출입통제시스템 납품(설치),수의1인견적,2023-03-22,3050000,(주)서건
본청,초평호 제2하늘다리 건설사업 관급자재(출렁다리 제작 및 설치)(2차분)(문화관광과),수의1인견적,2023-03-24,2324369920,주식회사 케이블브릿지
본청,2023년도 꽃길 및 치유의숲 입구등 장미 식재를 위한 꽃묘(산림녹지과),수의1인견적,2023-03-27,4060000,꽃마당농장
본청,일반업무용 전산재료 및 부품구입(홍보미디어실),수의1인견적,2023-03-27,9912000,희성정보통신
본청,진천군 지역자율방재단 피복 구입,수의1인견적,2023-03-28,4300000,아주C&D
본청,종박물관 문화상품(문화관광과),수의1인견적,2023-04-03,12548000,성종사
본청,2023년 그린시티 숲 조성사업(수목보호판),수의1인견적,2023-04-03,1980000, 나무도리
본청,「진천·음성 광역폐기물 매립시설 7단 제방설치공사」관급자재(지오셀 외 2종)(식산업자원과),수의1인견적,2023-04-04,125808000,주식회사지오콘
본청,지방세·세외수입 무인수납기(세정과),수의2인이상견적,2023-04-05,62900000,(주)새올정보기술
본청,군청 본관 1층 디스플레이 원격제어 프로그램(홍보미디어실),수의1인견적,2023-04-10,3342000,희성정보통신
본청,2023년도 꽃길 조성을 위한 꽃묘(리빙스턴데이지 외 3종)(산림녹지과),수의1인견적,2023-04-10,6102000,좋은날 농원
본청,민선7기 군정백서 발간(기획감사실),수의1인견적,2023-04-10,12200000,오투기획
본청,진천군 교통안전 홍보물품(건설교통과),수의1인견적,2023-04-12,4386250,고려기프트주식회사
본청,민원업무담당 공무원 보호를 위한 휴대용 보호장비(웨어러블 카메라)(민원토지과),수의1인견적,2023-04-13,7227000,주식회사 뮨
본청,행정전산실 설비관리시스템(FMS) 솔루션 업그레이드 작업(홍보미디어실),수의1인견적,2023-04-18,13160000,(주)새올정보기술
본청,2023 충청북도 사회조사 홍보용 물품(행정지원과),수의1인견적,2023-04-18,8500000,대영스포츠의료기
본청,진천군 음식물류폐기물 처리시설 설치사업 톱밥(식산업자원과),수의1인견적,2023-04-21,19675260,조흥산업(주)
본청,[충북혁신도시 복합혁신센터 건립사업(건축공사)]관급자재(GHP실외기) (건축디자인과),제한경쟁,2023-04-25,340818530,청남공조
본청,케이푸드밸리 공공폐수처리시설(2단계) 증설공사 관급자재 구입 (스컴제거기)(환경에너지과),수의1인견적,2023-04-26,34650000,주식회사호원
본청,신척산수산단 공공폐수처리시설 초순수 제조 기기(환경에너지과),수의1인견적,2023-04-26,3050000,주식회사 환경플러스
본청,2023년 산불지휘차량 고도화 시스템 구축(산림녹지과),수의1인견적,2023-04-28,11300000,세화자동차(주)
본청,생거판화미술관 기획전 도록 등 제작(문화관광과),수의1인견적,2023-04-28,9950000,디디어
본청,2023년 자연재난 대비 수방자재(안전총괄과),수의1인견적,2023-05-02,5632000,진천종합상사
본청,2023년 생활환경숲(대화공원) 조성사업 관급자재(음악벤치)(산림녹지과),수의1인견적,2023-05-03,13200000,(주)엔쓰컴퍼니
본청,무인교통단속장비 등 설치사업에 따른 관급자재 구입(한천초 옐로카펫)(건설교통과),수의1인견적,2023-05-08,16720000,주식회사 제이씨엠코리아
본청,포석공원 행적도 설치 구입(문화관광과),수의1인견적,2023-05-08,5300000,가야석재
본청,2023년도 농다리축제 준비를 위한 꽃묘(메리골드 등)(산림녹지과),수의1인견적,2023-05-09,5040000,조이플라워
본청,제15회 충청북도 도시군 청원경찰 화합한마당 단체복(행정지원과),수의1인견적,2023-05-10,5143000,네파진천점
본청, 가축분뇨공공처리시설(증설분) 활성탄여과기 여재 교체(환경에너지과),수의1인견적,2023-05-10,7200000,(주)한인엠시티
본청,진천읍 상계리 성암천 정비공사 물품(골재)(건설교통과),수의1인견적,2023-05-12,5010000,금성개발
본청,2023년 상반기 식품진흥기금 위생물품 구입,수의2인이상견적,2023-05-16,2420000,(주)진천가이드
본청,2023년 여성안심환경조성을 위한 여성안심 귀갓길 내 안전 시설물(가족친화과),수의1인견적,2023-05-17,5706000,유익인터네셔널
본청,진천읍 대기오염측정망 소모품(환경에너지과),수의1인견적,2023-05-18,7021600,하림엔지니어링(주)
본청,덕산읍 대기오염측정망 소모품(환경에너지과),수의1인견적,2023-05-18,7405000,주식회사 이엠솔루션
본청,2023년 생활환경숲 조성사업 관급자재(산림녹지과),수의1인견적,2023-05-19,13200000,(주)엔쓰컴퍼니
본청,진천군 음식물류폐기물 처리시설 설치사업 약품(식산업자원과),수의1인견적,2023-05-19,15450000,경서화학
본청,진천음성 광역폐기물매립시설 우수침투방지자재(식산업자원과),수의1인견적,2023-05-23,10392000,대호농자재
본청, 케이푸드밸리산업단지 공공폐수처리시설 증설공사 관급자재 구입(프로세스제어반)(환경에너지과),수의1인견적,2023-05-24,111922880,비콤시스템 주식회사
본청,노면청소 차량(95주4234) 수리(회계과),수의1인견적,2023-05-26,7776340,리텍 주식회사
본청,케이푸드밸리산업단지 공공폐수처리시설 2단계 증설공사(협잡물처리기 외1)(환경에너지과),수의1인견적,2023-05-31,200558520,(주)엔바이로텍
본청,신척산수산단 공공폐수처리시설 압송펌프 수리(환경에너지과),수의1인견적,2023-06-02,4450000,중앙모타사전기
본청,(정정)재난위험시설 금한교 보수공사 관급자재(아스팔트콘크리트)(건설교통과),수의2인이상견적,2023-06-08,51342100,흥진산업(주)
본청,백곡 장수복지회관 LED채널 및 간판 제작설치(건축디자인과),수의1인견적,2023-06-13,19500000,스카이광고
본청,전자칠판 구입(건축디자인과),수의1인견적,2023-06-13,8460000,희성정보통신
본청,순번대기 번호표 발행기 구입(차량등록팀)(건설교통과),수의1인견적,2023-06-13,2900000,희성정보통신
본청,진천군 음식물류폐기물 처리시설 설치사업 급배수 저장탱크(식산업자원과),수의1인견적,2023-06-14,3687000,태양FRP산업
본청,온톡메신저알리미(SW) 구입(홍보미디어실),수의1인견적,2023-06-14,12900000,주식회사 아이티스마트
본청,건설교통과 사무실(차량등록팀) 리모델링에 따른 사무집기 등 구입(건설교통과),수의1인견적,2023-06-16,7700000,(주)인하우스
본청,정보통신시설 운영 관련 소모품 구입(전화기 에스코드 등)(홍보미디어실),수의1인견적,2023-06-16,5642000,동양정보산업(주)
본청,2023년 폭염저감시설(스마트그늘막) 구매 설치(안전총괄과),수의1인견적,2023-06-19,34000000,본네이처
본청,충북혁신도시 복합혁신센터 건립사업(건축공사)]관급자재(휠체어리프트)(건축디자인과),수의1인견적,2023-06-21,60600000,주식회사 신우프론티어
본청,창의미래교육센터 ICT창의융합체험교육 교구(비봇)(교육청소년과),수의1인견적,2023-06-21,2061600,(주)제이이디아이
본청,창의미래교육센터 ICT창의융합체험교육 교구(코딩블록)(교육청소년과),수의1인견적,2023-06-21,2081900,(주)씨앤알테크
본청,백곡호 국가생태탐방로 조성사업 관급자재(2구간-데크로드시스템)(문화관광과),수의1인견적,2023-06-22,844349120,(유)송원이엔지
본청,[충북혁신도시 복합혁신센터 건립사업(건축공사)]관급자재(이동식 휠체어리프트)(건축디자인과),수의1인견적,2023-06-22,38700000,(주)비에프코리아
본청,케이푸드밸리 공공폐수처리시설(2단계) 증설공사 관급자재 구입 (슬러지 수집기)(환경에너지과),수의1인견적,2023-06-22,120675770,주식회사호원
본청,어린이보호구역 개선사업에 따른 관급자재 구입(초평초 옐로카펫)(건설교통과),수의1인견적,2023-06-26,4200000,스마트산업
본청,『광혜원면  재난전광판 신규설치 』집행,지명경쟁,2023-06-26,128189430,상승종합통신 주식회사
